Apple|-04.23|+00.96|+02.73
Bowl|-00.49|+00.91|+04.61
Bread|-04.23|+00.99|+03.99
ButterKnife|-00.45|+00.92|+04.89
Cabinet|-03.20|+01.93|+01.78
Cabinet|-00.64|+00.39|+04.30
Cabinet|-00.64|+00.39|+05.60
Cabinet|-00.33|+02.25|+05.61
Cabinet|-04.28|+01.93|+02.23
Cabinet|-04.11|+01.94|+05.32
Cabinet|-03.97|+00.39|+03.66
Cabinet|-03.96|+00.39|+02.12
Cabinet|-00.64|+00.39|+05.58
Cabinet|-03.97|+00.39|+02.89
Cabinet|-03.67|+00.39|+05.03
Cabinet|-01.54|+00.39|+02.09
Cabinet|-03.64|+00.39|+05.03
Cabinet|-01.58|+01.93|+01.78
Cabinet|-00.33|+02.25|+04.21
Cabinet|-03.96|+00.39|+04.34
Cabinet|-00.33|+02.25|+03.01
Cabinet|-03.04|+01.94|+05.32
Cabinet|-03.96|+00.39|+02.88
Cabinet|-00.33|+02.25|+06.81
Cabinet|-03.04|+00.39|+05.03
Cabinet|-03.92|+00.40|+02.09
Cabinet|-00.33|+02.25|+04.31
Cabinet|-00.64|+00.39|+06.88
Cabinet|-03.19|+00.39|+02.09
Cabinet|-00.33|+02.25|+05.51
CoffeeMachine|-00.28|+00.91|+06.56
CounterTop|-04.26|+00.96|+04.94
CounterTop|-01.87|+00.96|+01.80
CounterTop|-00.35|+00.96|+05.60
Cup|-01.70|+00.91|+01.95
Curtains|-04.52|+02.25|+03.39
DishSponge|-04.39|+00.91|+02.95
Drawer|-03.80|+00.78|+01.96
Drawer|-00.51|+00.78|+06.57
Drawer|-00.51|+00.78|+05.27
Drawer|-04.13|+00.80|+02.50
Drawer|-03.51|+00.78|+05.16
Drawer|-03.19|+00.78|+05.16
Drawer|-00.51|+00.78|+05.92
Drawer|-04.09|+00.78|+04.66
Drawer|-03.42|+00.78|+01.96
Drawer|-03.80|+00.78|+05.16
Drawer|-01.86|+00.78|+01.96
Drawer|-00.51|+00.78|+04.62
Egg|-04.07|+00.94|+02.81
Faucet|-04.44|+00.91|+03.29
Floor|-02.27|-01.00|+05.32
Fork|-03.20|+00.92|+05.46
Fridge|-00.32|00.00|+03.60
GarbageCan|-03.71|-00.03|+06.38
Knife|-03.17|+00.92|+05.20
Lettuce|-04.25|+00.98|+02.40
LightSwitch|-01.59|+01.17|+01.51
Microwave|-02.69|+01.43|+01.69
Mug|-04.19|+00.91|+03.70
Pan|-02.45|+00.93|+02.02
PaperTowelRoll|-04.18|+01.02|+01.83
Pencil|-00.55|+00.92|+04.42
PepperShaker|-02.05|+00.91|+01.74
Plate|-04.23|+00.91|+04.72
Pot|-00.40|+00.91|+05.93
Potato|-04.08|+00.95|+02.68
SaltShaker|-02.13|+00.91|+01.60
Sink|-04.19|+00.92|+03.28
Sink|-04.19|+00.92|+03.28|SinkBasin
SoapBottle|-04.40|+00.91|+03.63
Spatula|-03.91|+00.92|+05.17
Spoon|-03.17|+00.91|+05.37
StoveBurner|-02.92|+00.92|+02.01
StoveBurner|-02.47|+00.92|+02.01
StoveBurner|-02.47|+00.92|+01.71
StoveBurner|-02.92|+00.92|+01.71
StoveKnob|-02.51|+01.10|+01.56
StoveKnob|-02.79|+01.10|+01.56
StoveKnob|-02.97|+01.10|+01.56
StoveKnob|-02.35|+01.10|+01.56
Toaster|-03.58|+00.91|+01.76
Tomato|-04.16|+00.97|+04.39
Window|-04.87|+01.63|+03.31
WineBottle|-04.40|+00.91|+02.32
