Apple|-02.48|+01.18|+00.48
Bowl|-00.50|+01.04|+02.22
Bread|-00.18|+01.12|+01.89
ButterKnife|-02.63|+01.11|+00.60
Cabinet|-01.73|+00.39|+00.73
Cabinet|-01.00|+00.39|+00.73
CoffeeMachine|-00.15|+01.04|+03.19
CounterTop|-00.52|+01.16|+00.49
CounterTop|-02.28|+01.16|+00.38
CounterTop|-03.86|+01.16|+00.38
Cup|-01.58|+00.92|+00.34
DiningTable|-00.62|+00.02|+02.49
DishSponge|-01.12|+01.15|+00.09
Drawer|-02.50|+00.61|+00.59
Drawer|-02.50|+00.22|+00.59
Drawer|-02.04|+00.61|+00.59
Drawer|-02.04|+00.22|+00.59
Drawer|-02.04|+00.94|+00.60
Drawer|-02.51|+00.94|+00.60
Egg|-03.37|+01.30|+02.85
Faucet|-01.37|+01.14|+00.13
Floor|+00.00|+00.00|+00.00
Fork|-00.46|+01.04|+01.78
Fridge|-03.52|+00.00|+02.72
GarbageCan|-03.70|+00.00|+02.01
HousePlant|-02.16|+01.10|+00.17
Knife|-01.48|+00.93|+00.42
Ladle|-01.95|+01.14|+00.45
Lettuce|-03.31|+00.97|+03.04
LightSwitch|-02.58|+01.30|+03.50
Microwave|-00.37|+01.11|+00.43
Mug|-00.38|+01.09|+03.19
Pan|-00.27|+01.04|+02.56
PepperShaker|-03.76|+01.11|+00.39
Plate|-01.19|+00.92|+00.40
Pot|-03.00|+01.14|+00.48
Potato|-02.66|+01.15|+00.25
SaltShaker|-03.76|+01.11|+00.52
Sink|-01.39|+00.98|+00.44
Sink|-01.39|+00.98|+00.44|SinkBasin
SoapBottle|-00.89|+01.11|+00.19
Spatula|-00.81|+01.12|+00.53
Spoon|-00.43|+01.04|+01.90
StoveBurner|-03.00|+01.10|+00.23
StoveBurner|-03.48|+01.10|+00.23
StoveBurner|-03.00|+01.10|+00.48
StoveBurner|-03.48|+01.10|+00.48
StoveKnob|-03.16|+01.05|+00.71
StoveKnob|-03.49|+01.05|+00.71
StoveKnob|-02.99|+01.05|+00.71
StoveKnob|-03.32|+01.05|+00.71
Toaster|-00.23|+01.04|+02.87
Tomato|-00.75|+01.08|+02.40
Window|-01.39|+01.93|+00.02
Window|-03.27|+01.93|+00.02
