Apple|-01.64|+00.96|+00.50
Bowl|-02.64|+00.72|+02.87
Bread|-02.87|+00.77|+02.41
ButterKnife|-02.21|+00.92|+00.62
Cabinet|-00.52|+02.05|+00.39
Cabinet|-01.48|+02.05|+00.39
Cabinet|-02.47|+02.05|+00.39
Cabinet|-00.48|+02.05|+00.39
Cabinet|-02.55|+00.49|+00.65
Cabinet|-01.55|+00.49|+00.65
Cabinet|-01.59|+00.49|+00.65
Cabinet|-00.56|+00.49|+00.65
Cabinet|-00.60|+00.49|+00.65
Cabinet|-01.51|+02.05|+00.39
CoffeeMachine|-02.94|+00.93|+03.61
CounterTop|-01.37|+00.95|+00.35
CounterTop|-02.78|+00.97|+03.49
Cup|-02.91|+00.72|+02.91
DiningTable|-02.73|00.00|+02.61
DiningTable|-00.49|00.00|+03.18
DishSponge|-00.90|+00.79|+00.26
Drawer|-00.33|+00.70|+00.41
Drawer|-01.82|+00.70|+00.41
Drawer|-02.32|+00.70|+00.41
Egg|-02.75|+00.30|+04.34
Faucet|-01.08|+00.92|+00.03
Floor|-00.05|+00.00|+00.00
Fork|-01.85|+00.65|+00.46
Fridge|-02.80|+00.00|+04.43
GarbageCan|-02.82|-00.02|+00.37
Knife|-00.58|+00.87|+03.31
Lettuce|-02.84|+00.37|+04.63
LightSwitch|-00.07|+01.45|+02.00
Microwave|-00.39|+00.92|+00.22
Mug|-00.21|+00.86|+02.72
Pan|-00.25|+00.93|+04.65
PepperShaker|-01.93|+00.92|+00.40
Plate|-00.45|+00.86|+02.93
Pot|-02.54|+00.72|+02.55
Potato|-02.62|+00.96|+03.34
SaltShaker|-01.84|+00.92|+00.31
Sink|-01.11|+00.93|+00.34
Sink|-01.11|+00.93|+00.34|SinkBasin
SoapBottle|-01.58|+00.92|+00.30
Spatula|-02.24|+00.92|+00.55
Spoon|-01.80|+00.65|+00.34
StoveBurner|-00.25|+00.92|+04.67
StoveBurner|-00.25|+00.92|+04.27
StoveBurner|-00.54|+00.92|+04.67
StoveBurner|-00.54|+00.92|+04.27
StoveKnob|-00.06|+01.09|+04.22
StoveKnob|-00.06|+01.09|+04.38
StoveKnob|-00.06|+01.09|+04.78
StoveKnob|-00.06|+01.09|+04.63
Toaster|-00.29|+00.86|+03.52
Tomato|-01.16|+00.85|+00.32
Window|-03.08|+01.59|+01.36
